Time_s_,Eng_Spd_CAN_rpm_,Eng_Torq_CAN_Nm_,Eng_FuelFlow_Direct_cc_s_,Eng_FuelTemp_Direct_C_,Eng_Clnt_Temp_CAN_C_,Eng_Oil_Dipstick_Temp_C_,Batt_Volt_CAN_V_,Batt_Current_CAN_A_,Brake_Press_CAN_kPa_,Pedal_Accel_Pos_CAN___,Vehicle_Speed_CAN_mph_,Trans_Gear_Act_CAN__
-10,942.5,10.13,0,23.1,84,81.406,110.125,6,12975,0,0,13
-9.9,948,9.145,0,23.1,84,81.433,110.125,6.15,12975,0,0,13
-9.8,948,7.667,0,23.1,84,81.441,110.125,6,12975,0,0,13
-9.7,927.5,9.145,0,23.1,84,81.464,110.125,6.75,13050,0,0,13
-9.6,919.25,9.637,0,23.1,84,81.479,110.25,7.05,13050,0,0,13
-9.5,909.25,9.637,0,23.1,84,81.504,110.125,7.05,13050,0,0,13
-9.4,899,9.637,0,23.1,84,81.527,110.25,7.35,13050,0,0,13
-9.3,895.25,9.145,0,23.1,84,81.52,110.25,7.35,13050,0,0,13
-9.2,886.5,9.637,0,23.1,84,81.567,110.25,7.5,13050,0,0,13
-9.1,877.25,9.145,0.304,23.1,84,81.58,110.25,7.8,13125,0,0,13
-9,872.5,11.607,0.304,23.1,84,81.599,110.25,7.5,13200,0,0,13
-8.9,872.25,8.652,0.304,23.1,84,81.599,110.25,7.2,13275,0,0,13
-8.8,854.5,11.115,0.304,23.1,84,81.621,110.25,7.2,13275,0,0,13
-8.7,860.75,10.622,0.304,23.1,84,81.642,110.25,8.25,13275,0,0,13
-8.6,853.25,8.652,0.304,23.1,84,81.664,110.375,8.4,13350,0,0,13
-8.5,840.5,11.607,0.304,23.1,84,81.673,110.375,9,13425,0,0,13
-8.4,836.5,11.115,0.304,23.1,84,81.673,110.375,8.4,13425,0,0,13
-8.3,839.25,9.145,0.304,23.1,85,81.683,110.25,7.2,13350,0,0,13
-8.2,840.75,5.697,0.33,23.1,85,81.703,110.25,8.1,13350,0,0,13
-8.1,816,8.16,0.33,23.1,85,81.719,110.375,8.7,13350,0,0,13
-8,826.25,8.652,0.33,23.1,85,81.719,110.375,9,13350,0,0,13
-7.9,827.25,6.19,0.33,23.1,85,81.752,110.25,7.5,13350,0,0,13
-7.8,805.75,9.145,0.33,23.1,85,81.768,110.25,7.8,13350,0,0,13
-7.7,830.5,9.145,0.33,23.1,85,81.774,110.375,8.55,13350,0,0,13
-7.6,818.75,5.205,0.33,23.1,85,81.778,110.375,8.4,13350,0,0,13
-7.5,804,8.653,0.33,23.1,85,81.789,110.25,7.65,13350,0,0,13
-7.4,809,9.145,0.33,23.1,85,81.793,110.375,8.25,13350,0,0,13
-7.3,815.5,6.682,0.33,23.1,85,81.828,110.25,7.8,13350,0,0,13
-7.2,800.25,9.637,0.34,23.1,85,81.832,110.25,7.5,13350,0,0,13
-7.1,804,9.145,0.34,23.1,85,81.833,110.375,8.25,13350,0,0,1
-7,782,5.205,0.34,23.1,85,81.847,110.375,7.8,13350,0,0,1
-6.9,768.75,13.577,0.34,23.1,85,81.871,110.125,5.25,13350,0,0,1
-6.8,839.75,16.532,0.34,23.1,85,81.879,110.375,7.2,13350,0,0,1
-6.7,843,12.1,0.34,23.1,85,81.891,110.375,7.8,13350,0,0,1
-6.6,840.25,12.592,0.34,23.1,85,81.884,110.25,7.35,13350,0,0,1
-6.5,840.75,11.115,0.34,23.1,85,81.91,110.25,7.05,13350,0,0,1
-6.4,791,12.592,0.34,23.1,85,81.915,110.25,6,13350,0,0,1
-6.3,755.25,24.905,0.34,23.1,85,81.923,110.125,4.8,13350,0,0,1
-6.2,776.75,24.412,0.41,23.1,85,81.923,110.125,2.7,13350,0,0,1
-6.1,788.5,20.965,0.41,23.1,85,81.936,110.125,4.95,13350,0,0,1
-6,774,20.965,0.41,23.1,85,81.973,110.125,3.9,13350,0,0,1
-5.9,756,23.92,0.41,23.1,85,81.978,110.125,3.15,13350,0,0,1
-5.8,777,22.935,0.41,23.1,85,81.996,110.125,3.6,13350,0,0,1
-5.7,761,22.935,0.41,23.1,85,81.994,110,1.95,13425,0,0,1
-5.6,767.75,22.935,0.41,23.1,85,82.002,110,2.4,13575,0,0,1
-5.5,768.25,22.935,0.41,23.1,85,82.02,109.875,1.65,13650,0,0,1
-5.4,770.25,22.442,0.41,23.1,85,82.018,110,2.55,13800,0,0,1
-5.3,762.75,22.935,0.41,23.1,85,82.028,110,2.55,13950,0,0,1
-5.2,761.5,23.92,0.729,23.1,85,82.048,110,2.4,13875,0,0,1
-5.1,757,22.935,0.729,23.1,85,82.057,109.875,1.8,13875,0,0,1
-5,737,23.92,0.729,23.1,85,82.066,110,2.4,13875,0,0,1
-4.9,756.25,23.427,0.729,23.1,85,82.067,109.875,1.35,13875,0,0,1
-4.8,753.25,22.935,0.729,23.1,85,82.089,110,2.25,13875,0,0,1
-4.7,745.5,23.92,0.729,23.1,85,82.096,110,1.95,13875,0,0,1
-4.6,742.75,24.412,0.729,23.1,85,82.101,110,2.25,13875,0,0,1
-4.5,741,23.92,0.729,23.1,85,82.119,109.875,1.35,13875,0,0,1
-4.4,750,23.92,0.729,23.1,85,82.124,110,2.1,13875,0,0,1
-4.3,733.5,23.427,0.729,23.1,86,82.134,109.875,1.2,13875,0,0,1
-4.2,729,25.397,0.47,23.1,86,82.15,109.875,1.95,13875,0,0,1
-4.1,753.75,23.92,0.47,23.1,86,82.158,109.875,0.9,13800,0,0,1
-4,722.75,23.428,0.47,23.1,86,82.164,109.875,1.65,13800,0,0,1
-3.9,714.75,23.92,0.47,23.1,86,82.166,109.875,1.2,13800,0,0,1
-3.8,735,25.397,0.47,23.1,86,82.201,110,2.25,13800,0,0,1
-3.7,734,24.412,0.47,23.1,86,82.188,110,1.95,13800,0,0,1
-3.6,709.5,25.89,0.47,23.1,86,82.219,109.875,1.2,13800,0,0,1
-3.5,722,26.382,0.47,23.1,86,82.203,110,1.95,13800,0,0,1
-3.4,748,24.905,0.47,23.1,86,82.218,109.875,0.6,13800,0,0,1
-3.3,717.25,25.89,0.418,23.1,86,82.241,109.875,1.5,13800,0,0,1
-3.2,724.25,26.875,0.418,23.1,86,82.236,109.875,1.2,13800,0,0,1
-3.1,757.75,24.412,0.418,23.1,86,82.257,109.875,1.35,13800,0,0,1
-3,734,23.428,0.418,23.1,86,82.258,109.875,1.65,13800,0,0,1
-2.9,736,25.89,0.418,23.1,86,82.296,109.875,1.2,13800,0,0,1
-2.8,756.75,24.905,0.418,23.1,86,82.281,109.875,1.95,13800,0,0,1
-2.7,747.5,22.935,0.418,23.1,86,82.291,110,1.65,13800,0,0,1
-2.6,737.75,25.397,0.418,23.1,86,82.297,110,2.7,13800,0,0,1
-2.5,742,25.89,0.418,23.1,86,82.329,109.875,1.65,13800,0,0,1
-2.4,748,24.412,0.418,23.1,86,82.337,110,2.55,13800,0,0,1
-2.3,745,24.905,0.39,23.1,86,82.35,109.875,1.95,13800,0,0,1
-2.2,745.75,25.397,0.39,23.1,86,82.35,110,2.4,13800,0,0,1
-2.1,759.75,22.442,0.39,23.1,86,82.362,109.875,1.65,13800,0,0,1
-2,738.25,24.413,0.39,23.1,86,82.377,110,2.55,13800,0,0,1
-1.9,745.75,24.905,0.39,23.1,86,82.368,110,1.95,13800,0,0,1
-1.8,755,23.427,0.39,23.1,86,82.378,110.125,3.6,13800,0,0,1
-1.7,747.25,24.905,0.39,23.1,86,82.39,110,2.4,13800,0,0,1
